TYPE,TITLE,AUTHOR,TAGS,NATIONALITIES,CONTINENTS,SOURCES,CSI
Article,"Philosophical transactions. Biological sciences","Karnath, Hans-Otto ; Karnath, Hans-Otto",,DE,EU,Scopus,0.90196078431373
Article,"Trends in Neurosciences","Goodale, Melvyn A ; Milner, A.David",,GB,EU,Scopus,0.87254901960784
Article,"Trends in Neurosciences","Mishkin, Mortimer ; Ungerleider, Leslie G ; Macko, Kathleen A",,US,NA,Scopus,0.96078431372549
Book,"Sensorimotor control and learning : an introduction to the behavioral neuroscience of action ","Tresilian, James.",,,,VIAF,
Article,"Human Factors","Donges (1978)",,,,Scopus,
Article,"Perception (London)","Salvucci, Dario D ; Gray, Rob",,US,NA,Scopus,0.96078431372549
Article,"Journal of experimental psychology. Human perception and performance","Wallis, Guy ; Chatziastros, Astros ; Tresilian, James ; Tomasevic, Nebojsa",Core,AU,OC,Scopus,0.92647058823529
Article,"Experimental brain research","Cloete, Steven R ; Wallis, Guy",,AU,OC,Scopus,0.92647058823529
Article,Neuropsychologia,"Vallar, Giuseppe ; Perani, Daniela",,IT,EU,Scopus,0.84313725490196
Article,"Philosophical transactions. Biological sciences","Vallar, Giuseppe ; Vallar, Giuseppe",,IT,EU,Scopus,0.84313725490196
Book,"Brain, mind, and behavior ","Bloom, Floyd E.",,US,NA,VIAF,0.96078431372549
Article,Neurology,"Fink, Gereon R ; Marshall, J.C ; Shah, N.J ; Weiss, P.H ; Halligan, P.W ; Grosse-Ruyken, M ; Ziemons, K ; Zilles, K ; Freund, H.-J",,DE,EU,Scopus,0.90196078431373
Article,"Experimental brain research","Niemeier, Matthias ; Karnath, Hans-Otto",,,,Scopus,
Article,"Current biology","Niemeier, Matthias ; Karnath, Hans-Otto",,DE,EU,Scopus,0.90196078431373
Article,Cortex,"Bisiach & Luzzatti",,IT,EU,Scopus,0.84313725490196
Article,Neuropsychologia,"Bottini, G ; Cappa, S ; Geminiani, G ; Sterzi, R",,IT,EU,Scopus,0.84313725490196
Article,Cortex,"Marshall JC, Halligan PW.",,,,Scopus,
Article,Neuropsychologia,"Maguire, Eleanor A ; Burke, Teresa ; Phillips, Jack ; Staunton, Hugh",,IE,EU,Scopus,0.9656862745098
Article,Cortex,"Habib M, Sirigu A",,FR,EU,Scopus,0.86764705882353
Article,"Journal of neurology, neurosurgery and psychiatry","Scoville, William Beecher ; Milner, Brenda",,,,Scopus,
Article,"Nature (London)","Squire, Larry R ; Teng, Edmond",,,,Scopus,
Article,Hippocampus,"King, John A ; Burgess, Neil ; Hartley, Tom ; Vargha-Khadem, Faraneh ; O'Keefe, John",,GB,EU,Scopus,0.87254901960784
Article,"Philosophical transactions. Biological sciences","Andersen, Richard A",,US,NA,Scopus,0.96078431372549
Article,"Nature (London)","Duhamel, Jean-René ; Bremmer, Frank ; BenHamed, Suliann ; Graf, Werner",Core,FR,EU,Scopus,0.86764705882353
Article,"Nature (London)","Andersen, Richard A ; Snyder, Lawrence H ; Grieve, Kenneth L ; Brotchie, Peter",Core,US,NA,Scopus,0.96078431372549
Article,Nature,"Kahana, Michael J ; Fried, Itzhak ; Ekstrom, Arne D ; Caplan, Jeremy B ; Fields, Tony A ; Isham, Eve A ; Newman, Ehren L",,,,Scopus,
Article,"Biological cybernetics","Collett, Matthew ; Collett, Thomas S",,GB,EU,Scopus,0.87254901960784
Article,"Current biology","Collett, Matthew ; Collett, Thomas S ; Wehner, Rüdiger",,CH,EU,Scopus,0.98529411764706
Article,"Journal of experimental biology","Collett, TS ; Collett, M ; Wehner, R",,GB,EU,Scopus,0.87254901960784
Article,Nature,"Riley, J. R ; Greggers, U ; Smith, A. D ; Reynolds, D. R ; Menzel, R",,DE,EU,Scopus,0.90196078431373
Article,"Current biology","Srinivasan, M.V",,,,Scopus,
Article,"Science (American Association for the Advancement of Science)","Srinivasan, Mandyan V ; Zhang, Shaowu ; Altwein, Monika ; Tautz, Jürgen",,DE,EU,Scopus,0.90196078431373
Article,"Journal of experimental biology","Vladusich, T ; Hemmi, JM ; Srinivasan, MV ; Zeil, J",Core,AU,OC,Scopus,0.92647058823529
Article,"Journal of experimental biology","Wehner, Rüdiger ; Michel, Barbara ; Antonsen, Per",Core,CH,EU,Scopus,0.98529411764706
Article,"Science (American Association for the Advancement of Science)","Wittlinger, Matthias ; Wehner, Rüdiger ; Wolf, Harald",,DE,EU,Scopus,0.90196078431373
Article,"Nature (London)","Ernst, Marc O ; Banks, Martin S",Core,US,NA,Scopus,0.96078431372549
Article,"Journal of vision (Charlottesville, Va.)","Gepshtein, Sergei ; Burge, Johannes ; Ernst, Marc O ; Banks, Martin S",,US,NA,Scopus,0.96078431372549
Article,"Science (American Association for the Advancement of Science)","Hillis, J.H ; Ernst, M.O ; Banks, M.S ; Landy, M.S",,US,NA,Scopus,0.96078431372549
Article,Nature,"Körding, Konrad P ; Wolpert, Daniel M",,GB,EU,Scopus,0.87254901960784
Article,"Trends in cognitive sciences","Körding, Konrad P ; Wolpert, Daniel M",,GB,EU,Scopus,0.87254901960784
Article,"Human movement science","Wolpert, Daniel M",,GB,EU,Scopus,0.87254901960784
Article,"PloS one","Egger, Seth W ; Engelhardt, Heidi R ; Britten, Kenneth H",,US,NA,Scopus,0.96078431372549
Article,"Journal of experimental biology","Land, M.F",Core,,,Scopus,
Article,"Journal of experimental biology","Tucker, VA",,,,Scopus,
Article,"Journal of experimental biology","Tucker, V.A ; Tucker, A.E ; Akers, K ; Enderson, J.H",Core,US,NA,Scopus,0.96078431372549
Article,"The Journal of neuroscience","Ghose, Kaushik ; Moss, Cynthia F",Core,,,Scopus,
Article,"ACM transactions on applied perception","Wilkie, Richard ; Wann, John ; Allison, Robert",,CA,NA,Scopus,0.8921568627451
Article,"Journal of experimental psychology. Human perception and performance","Wilkie, Richard M ; Wann, John P ; Allison, Robert S",,CA,NA,Scopus,0.8921568627451
Article,"Journal of experimental psychology. Human perception and performance","Wilkie, Richard M ; Wann, John P",,,,Scopus,
Article,"Journal of experimental psychology. Human perception and performance","Wilkie, Richard M ; Wann, John P",Core,,,Scopus,
Book,"Optic flow and beyond ","Vaina, Lucia, 1946-",,GB|US,EU|NA,VIAF,0.90196078431373
Article,"Journal of vision (Charlottesville, Va.)","Wilkie, Richard M ; Wann, John P",Core,GB,EU,Scopus,0.87254901960784
Article,"Journal of experimental psychology. Human perception and performance","Wilkie, Richard ; Wann, John",,GB,EU,Scopus,0.87254901960784
Article,"Current biology","Wilkie, Richard M ; Wann, John P",Core,GB,EU,Scopus,0.87254901960784
Article,"Experimental brain research","Cloete, Steven ; Wallis, Guy",,AU,OC,Scopus,0.92647058823529
Article,,"Kountouriotis, GK ; Floyd, RC ; Gardner, PH ; Merat, N ; Wilkie, RM",Core,GB,EU,Scopus,0.87254901960784
